"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.02685981,       1.319487269,         0.8487371,       4.463888194
          0,           0,           1,      -1.460631812,        1.07876155,       1.215234878,         4.0591078
          0,           0,           2,      -1.283007221,       1.166780993,       1.171520865,        4.22702468
          0,           0,           3,      -1.351989949,       1.178512688,       1.225594735,       4.142529574
          0,           0,           4,      -1.278469182,       1.174196826,       1.213533721,       4.196000353
          0,           0,           5,      -1.248920111,       1.148434947,       1.185565527,       4.217445335
          0,           0,           6,      -1.239812247,       1.143273667,       1.210934306,       4.235994394
          0,           0,           7,      -1.215446615,       1.200149315,          1.244834,       4.268723447
          0,           0,           8,      -1.200611923,       1.237811683,         1.2523439,        4.27814058
          0,           0,           9,      -1.194452041,       1.231622386,       1.231689289,       4.269346474
          0,           0,          10,      -1.191334116,       1.187793049,       1.187185756,       4.256380617
          0,           0,          11,      -1.196336499,        1.12989004,       1.146599194,       4.242973696
          0,           0,          12,      -1.200737307,       1.098305627,       1.141723484,        4.24083221
          0,           0,          13,      -1.199128641,       1.113421585,       1.164323853,       4.251089683
          0,           0,          14,      -1.200659075,       1.132882709,       1.175377667,       4.252982319
          0,           0,          15,      -1.202195671,       1.144219427,       1.172829768,       4.249082289
          0,           0,          16,      -1.204892204,       1.137524589,       1.152907706,        4.23903282
          0,           0,          17,      -1.210421836,       1.110782762,       1.120108598,       4.223968957
          0,           0,          18,      -1.218555727,       1.068197983,        1.08444353,       4.207586529
          0,           0,          19,      -1.226592067,       1.021554736,       1.057349691,       4.195559905
          0,           0,          20,      -1.232081686,      0.9874235304,       1.045581035,       4.190878154
          0,           0,          21,      -1.234704758,      0.9751606405,       1.047423256,       4.191543371
          0,           0,          22,      -1.236238391,       0.978349234,       1.053301439,       4.192700524
          0,           0,          23,      -1.237320887,      0.9864273847,       1.055416154,       4.192318461
          0,           0,          24,      -1.238697874,      0.9925907819,       1.048856204,       4.189704498
          0,           0,          25,      -1.240312686,      0.9957146757,       1.034530512,       4.185748598
          0,           0,          26,      -1.241773696,      0.9970452965,       1.017144807,       4.181860203
          0,           0,          27,       -1.24347818,       0.996983865,       1.000972097,        4.17812032
          0,           0,          28,      -1.245010273,      0.9969979786,      0.9890326872,       4.175293247
          0,           0,          29,      -1.246863792,      0.9971450042,      0.9793630187,       4.172806209
          0,           0,          30,      -1.248921726,      0.9979654547,      0.9695745834,       4.170606087
          0,           0,          31,      -1.250599461,      0.9999810595,      0.9591191207,       4.169297384
          0,           0,          32,      -1.252050079,       1.002354176,      0.9487266716,       4.168571038
          0,           0,          33,      -1.252798564,       1.005703371,      0.9414074688,       4.169012676
          0,           0,          34,      -1.253515332,       1.009004794,      0.9377367056,       4.169609191
          0,           0,          35,      -1.254113779,       1.012088637,      0.9373343692,       4.170158533
          0,           0,          36,      -1.254178036,       1.014625355,      0.9386231437,       4.170932615
          0,           0,          37,      -1.253451012,       1.016411997,      0.9401701371,       4.172132363
          0,           0,          38,      -1.251985007,       1.017370134,       0.941409633,       4.173716047
          0,           0,          39,      -1.249898727,       1.017340203,      0.9425274557,       4.175634364
          0,           0,          40,      -1.247284117,        1.01599453,      0.9439695428,       4.177868797
          0,           0,          41,      -1.244159134,       1.012916548,      0.9460109095,       4.180449673
          0,           0,          42,      -1.240592559,       1.007705474,      0.9486189831,       4.183298796
          0,           0,          43,      -1.236610433,       1.000061057,      0.9515447436,        4.18638554
          0,           0,          44,      -1.232307431,      0.9898392894,      0.9544783139,       4.189618519
          0,           0,          45,      -1.230088209,      0.9755753813,       0.952985743,       4.189781413
          0,           0,          46,      -1.228108889,      0.9590379275,      0.9499561202,       4.189048139
          0,           0,          47,      -1.225015044,      0.9407815126,      0.9471747015,       4.189570276
          0,           0,          48,      -1.221381554,      0.9216407053,      0.9450357104,       4.191187858
          0,           0,          49,      -1.218137555,      0.9032699184,      0.9439875328,       4.193020698
          0,           0,          50,      -1.215489338,      0.8870051501,       0.944163234,        4.19481022
          0,           0,          51,      -1.213278098,      0.8737084894,       0.945396759,       4.196572759
          0,           0,          52,      -1.211351309,      0.8643241384,      0.9474224745,       4.198298345
          0,           0,          53,      -1.209780257,      0.8599408214,      0.9500493989,       4.199778293
          0,           0,          54,      -1.208843416,      0.8613218185,      0.9531254036,       4.200678022
          0,           0,          55,      -1.208669976,      0.8685784684,      0.9564381221,       4.200963967
          0,           0,          56,      -1.209495995,      0.8811613425,      0.9596871044,       4.200473199
          0,           0,          57,      -1.211400228,      0.8980349928,      0.9625884921,       4.199196513
          0,           0,          58,      -1.214184549,      0.9179046967,      0.9648802651,       4.197383168
          0,           0,          59,      -1.217592438,      0.9394074046,      0.9662992553,       4.195265944
          0,           0,          60,      -1.221522306,      0.9612973599,      0.9666562857,       4.192843486
          0,           0,          61,      -1.226026658,        0.98264166,      0.9658289979,       4.189956693
          0,           0,          62,      -1.230904335,       1.002857754,      0.9636916079,       4.186804557
          0,           0,          63,      -1.236271123,        1.02160782,      0.9602309886,       4.183206626
          0,           0,          64,      -1.242329259,       1.038640182,      0.9554792026,       4.178919299
          0,           0,          65,      -1.249140707,       1.053744567,      0.9494518765,       4.173927392
          0,           0,          66,      -1.256416413,       1.067571005,      0.9426039702,       4.168754698
          0,           0,          67,      -1.263909684,       1.080164281,      0.9350981309,       4.163820453
          0,           0,          68,       -1.27200939,        1.09010968,      0.9261935787,       4.158311186
          0,           0,          69,      -1.280501114,       1.097439005,      0.9158156707,       4.152190835
          0,           0,          70,       -1.28894521,       1.102180275,      0.9038475657,       4.145761682
          0,           0,          71,      -1.296867113,       1.105138316,      0.8906801845,       4.139624963
          0,           0,          72,      -1.304107869,        1.10670137,      0.8766927302,        4.13413985
          0,           0,          73,      -1.311543791,       1.105857995,      0.8616460888,       4.128049111
          0,           0,          74,      -1.319421666,       1.102782747,      0.8460938233,       4.120921834
          0,           0,          75,      -1.327260166,       1.097533945,      0.8306261897,        4.11319253
          0,           0,          76,      -1.334433895,       1.090727794,      0.8163496148,        4.10561982
          0,           0,          77,      -1.340741321,       1.082716456,      0.8041276033,       4.098655961
          0,           0,          78,      -1.346491672,       1.072590281,       0.793770588,       4.091858908
          0,           0,          79,      -1.351338583,        1.06054662,      0.7857254079,       4.085568045
          0,           0,          80,       -1.35490279,       1.046700488,      0.7801314702,       4.080167617
          0,           0,          81,      -1.356755057,       1.031569222,      0.7776763963,       4.076271997
          0,           0,          82,      -1.356921559,       1.015668619,      0.7783926192,       4.074177936
          0,           0,          83,       -1.35673653,      0.9985152899,       0.780916017,       4.072345786
          0,           0,          84,       -1.35651547,      0.9806075609,      0.7847942294,       4.070479294
          0,           0,          85,      -1.355926622,      0.9622865222,      0.7894760083,       4.069126922
          0,           0,          86,      -1.354895181,      0.9441741976,      0.7953245273,       4.068548627
          0,           0,          87,      -1.353545325,      0.9271020828,      0.8019953448,       4.068890761
          0,           0,          88,      -1.353003063,      0.9109776736,      0.8079968158,        4.06876855
          0,           0,          89,      -1.353358682,      0.8963874527,      0.8130234189,       4.067913457
          0,           0,          90,      -1.354218049,      0.8835574244,      0.8168642197,       4.066766207
          0,           0,          91,       -1.35538633,      0.8729786764,      0.8201065727,       4.065593376
          0,           0,          92,      -1.356423374,      0.8650999639,      0.8228774247,       4.065246528
          0,           0,          93,      -1.358050472,      0.8592552298,       0.824035964,        4.06467233
          0,           0,          94,      -1.360295648,      0.8554252424,      0.8232921407,       4.063535616
          0,           0,          95,      -1.363170364,      0.8531660951,      0.8202183287,       4.061662761
          0,           0,          96,       -1.36653533,      0.8527647757,      0.8149129617,       4.059389264
          0,           0,          97,      -1.371070305,       0.854203427,      0.8077496398,       4.056236637
          0,           0,          98,      -1.378194171,      0.8559468789,      0.7980666981,       4.050619391
          0,           0,          99,      -1.388424592,      0.8575296831,      0.7861982272,       4.041850365
          0,           0,         100,      -1.400519997,      0.8584288381,      0.7723677868,       4.031322643
          0,           0,         101,      -1.413471553,      0.8588572901,      0.7571568378,       4.020079329
          0,           0,         102,       -1.42496463,      0.8586680078,      0.7408771497,        4.01071657
          0,           0,         103,      -1.434250658,      0.8565023708,      0.7228372384,       4.003398173
          0,           0,         104,      -1.441327128,      0.8526552968,       0.703147155,       3.997424941
          0,           0,         105,      -1.446809869,      0.8476725483,      0.6819569962,        3.99195244
          0,           0,         106,      -1.451363187,      0.8428833705,      0.6600728127,       3.986517877
          0,           0,         107,      -1.455980461,      0.8392028756,      0.6384098706,       3.980689082
          0,           0,         108,      -1.461945511,      0.8353796308,       0.617136392,       3.973514672
          0,           0,         109,      -1.469885545,      0.8314647151,      0.5974044711,       3.964434789
          0,           0,         110,      -1.480395667,      0.8274896386,      0.5801395058,       3.952866092
          0,           0,         111,      -1.492561762,      0.8241537319,      0.5663786281,       3.939998014
          0,           0,         112,      -1.505489934,      0.8222460023,      0.5566077693,       3.927103207
          0,           0,         113,      -1.519693969,       0.820682316,      0.5493920322,       3.913433726
          0,           0,         114,      -1.534075202,      0.8192396668,      0.5436536856,       3.899835868
          0,           0,         115,      -1.547468026,      0.8175213802,      0.5380098837,       3.887185419
          0,           0,         116,      -1.560208774,      0.8156505266,      0.5320583884,       3.874806466
          0,           0,         117,      -1.572320334,      0.8140950589,      0.5259387495,        3.86298978
          0,           0,         118,      -1.585691931,      0.8117779161,      0.5188283545,        3.84989039
          0,           0,         119,       -1.60095077,      0.8084367904,       0.510933756,       3.834897589
          0,           0,         120,      -1.618438228,      0.8037080339,      0.5023987177,       3.817735745
          0,           0,         121,       -1.63784198,      0.7976804406,      0.4937657531,        3.79896651
          0,           0,         122,      -1.657738366,      0.7907582408,      0.4855163398,       3.780502741
          0,           0,         123,       -1.67806242,      0.7822847475,       0.476659757,       3.762065277
          0,           0,         124,      -1.698388006,      0.7720931581,      0.4667147105,        3.74359913
          0,           0,         125,      -1.717845086,      0.7599636564,      0.4551857393,       3.725641245
          0,           0,         126,      -1.735502182,      0.7460360507,      0.4424313678,       3.708948941
          0,           0,         127,      -1.750919143,      0.7306448333,      0.4289705602,         3.6940497
          0,           0,         128,      -1.764286108,       0.713587261,      0.4144753809,       3.680597778
          0,           0,         129,      -1.775034883,       0.695115602,      0.3992487863,       3.668964018
          0,           0,         130,      -1.782383039,      0.6755435006,      0.3836749415,       3.659879443
          0,           0,         131,       -1.78570265,      0.6555676086,      0.3689169109,       3.654170029
          0,           0,         132,      -1.784767844,      0.6362143896,      0.3561203562,       3.652538367
          0,           0,         133,      -1.780912884,      0.6179655034,      0.3452146895,       3.653834561
          0,           0,         134,      -1.774506097,      0.6015607722,      0.3362082849,       3.657627293
          0,           0,         135,      -1.765672409,      0.5873722659,      0.3287080963,       3.663857035
          0,           0,         136,      -1.754348674,      0.5756798383,      0.3228143897,        3.67287517
          0,           0,         137,      -1.740685528,      0.5663288433,      0.3182464832,       3.684747235
          0,           0,         138,       -1.72548539,      0.5569740046,      0.3126706242,       3.698251393
          0,           0,         139,       -1.70773891,      0.5479509665,      0.3051866248,       3.714025977
          0,           0,         140,      -1.688387677,      0.5413142857,      0.2955421984,       3.731316425
          0,           0,         141,       -1.66932741,      0.5391877144,      0.2852003517,       3.748616044
