"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.443072498,        0.48035158,   -0.002540594145,       4.003114184
          0,           0,           1,      -1.832421399,      0.5625397863,      0.7490947907,       3.628170035
          0,           0,           2,      -1.805417399,      0.6603723186,      0.6997573649,       3.652446969
          0,           0,           3,      -1.817435018,      0.7186508244,      0.7447035317,       3.633819603
          0,           0,           4,      -1.790346231,       0.722250834,      0.7359485798,       3.655580813
          0,           0,           5,      -1.762843519,      0.6946834321,      0.7141033408,        3.68530712
          0,           0,           6,      -1.740349593,      0.7044683152,      0.7219923586,       3.716264479
          0,           0,           7,      -1.742364079,      0.7300543061,      0.7653485796,       3.713504819
          0,           0,           8,      -1.732377475,      0.7121587188,      0.7676818791,       3.709733904
          0,           0,           9,      -1.710703179,      0.6809193971,      0.7327596528,       3.728422797
          0,           0,          10,      -1.697688709,       0.719996081,      0.7492023396,        3.75278736
          0,           0,          11,      -1.689255558,      0.7761219971,      0.8090720814,       3.765322141
          0,           0,          12,        -1.6855301,       0.783293538,      0.8284263426,       3.758550267
          0,           0,          13,      -1.696746928,      0.7397440398,      0.7824429464,       3.735738279
          0,           0,          14,      -1.719585735,      0.6719935494,      0.6914369516,       3.714836864
          0,           0,          15,      -1.742069386,      0.6350311801,      0.6390338042,       3.705863863
          0,           0,          16,        -1.7585157,      0.6582428789,       0.677042538,       3.697390748
          0,           0,          17,      -1.771634576,      0.6921510576,      0.7204509623,       3.677504639
          0,           0,          18,      -1.789019272,      0.6945651087,      0.7190110287,       3.645413071
          0,           0,          19,        -1.8191221,      0.6567591449,      0.6709143878,       3.605776515
          0,           0,          20,      -1.865029424,      0.5853129962,      0.5884279859,       3.563750352
          0,           0,          21,      -1.923765685,      0.5037796689,       0.501456108,       3.516112094
          0,           0,          22,      -1.981349328,      0.4442811562,      0.4432914879,       3.467178533
          0,           0,          23,      -2.027521352,      0.4293768322,      0.4287143328,       3.424244533
          0,           0,          24,      -2.057976306,      0.4458547972,      0.4428669274,       3.389842792
          0,           0,          25,      -2.076496755,      0.4702428025,      0.4649334159,       3.362749835
          0,           0,          26,      -2.092066682,      0.4844957391,      0.4773655697,       3.337739174
          0,           0,          27,      -2.110547204,      0.4813058636,      0.4714983765,       3.312228354
          0,           0,          28,       -2.13490402,      0.4581350498,      0.4434097029,       3.285267205
          0,           0,          29,      -2.165792177,      0.4157078323,      0.3925235959,       3.257289275
          0,           0,          30,      -2.201328286,      0.3591208643,      0.3223756851,       3.230955695
          0,           0,          31,      -2.237109305,      0.3047230558,       0.256922976,       3.204955638
          0,           0,          32,       -2.26834435,      0.2636037992,       0.211451062,       3.180141075
          0,           0,          33,      -2.292321824,      0.2453582013,       0.195485788,       3.160325065
          0,           0,          34,      -2.308778561,      0.2504447969,      0.2085728655,       3.144317911
          0,           0,          35,      -2.318453099,      0.2694544686,      0.2371087013,       3.131334406
          0,           0,          36,      -2.325429962,      0.2887449452,      0.2640378607,       3.117789188
          0,           0,          37,      -2.333480303,      0.3008013637,      0.2810951012,       3.101575604
          0,           0,          38,      -2.345424713,      0.3026633146,      0.2854887725,        3.08156002
          0,           0,          39,      -2.362756725,      0.2937689627,      0.2769193945,       3.057648471
          0,           0,          40,      -2.385249513,      0.2745880659,       0.255623264,       3.031395052
          0,           0,          41,      -2.411470186,      0.2459739559,      0.2225623392,       3.005122323
          0,           0,          42,       -2.43769895,      0.2098651538,      0.1794574146,       2.983089219
          0,           0,          43,      -2.459728764,      0.1695769143,      0.1296171044,       2.968938438
          0,           0,          44,      -2.475303216,      0.1305799835,     0.07977203338,       2.962930143
          0,           0,          45,      -2.484657457,      0.1007932973,     0.04159424327,       2.962894053
          0,           0,          46,       -2.49269864,     0.08753898105,     0.02838892832,       2.961300733
          0,           0,          47,      -2.503107326,     0.09107772518,     0.04110576716,       2.953499348
          0,           0,          48,      -2.517430495,      0.1044220428,      0.0673775579,       2.937372847
          0,           0,          49,      -2.534614725,      0.1183347831,     0.09273343699,       2.913600322
          0,           0,          50,       -2.55062102,       0.126549395,       0.108663459,        2.88669933
          0,           0,          51,       -2.56300743,      0.1236118791,      0.1091264511,       2.861685094
          0,           0,          52,      -2.569999169,      0.1084020931,     0.09292127272,       2.845397116
          0,           0,          53,      -2.572397713,     0.08252958621,     0.06157466005,       2.841378404
          0,           0,          54,      -2.573113085,     0.05027540375,     0.01994831459,       2.846901118
          0,           0,          55,      -2.574462817,     0.01824496827,    -0.02287768646,       2.856773761
          0,           0,          56,      -2.580472822,   -0.005767531824,    -0.05351648787,        2.86175475
          0,           0,          57,       -2.59201148,    -0.01853130974,    -0.06543865426,       2.857520533
          0,           0,          58,      -2.608681498,    -0.02277506318,    -0.06443726351,       2.842620791
          0,           0,          59,      -2.629127023,    -0.02412626231,    -0.06191624862,       2.818179149
          0,           0,          60,      -2.650419388,    -0.02630518334,    -0.06518044785,       2.788811711
          0,           0,          61,      -2.669980189,    -0.03197296383,    -0.07599725294,       2.760524756
          0,           0,          62,      -2.684185918,    -0.04036312914,    -0.08973487947,       2.741405017
          0,           0,          63,      -2.690267015,    -0.04944876665,    -0.09947149756,       2.736269613
          0,           0,          64,      -2.688427391,    -0.05782709333,     -0.1014680775,       2.742740268
          0,           0,          65,       -2.68062328,    -0.06544051873,     -0.0977638308,       2.755447116
          0,           0,          66,      -2.673803767,     -0.0752106801,    -0.09729531958,       2.764658409
          0,           0,          67,      -2.671620354,    -0.08977186659,     -0.1075302144,       2.766973039
          0,           0,          68,      -2.675055105,     -0.1093397334,      -0.131112582,        2.76281384
          0,           0,          69,      -2.682184842,     -0.1297134461,     -0.1635837083,       2.755453752
          0,           0,          70,      -2.688847525,     -0.1420738526,     -0.1909873584,       2.749483498
          0,           0,          71,      -2.690584961,      -0.137725397,     -0.1942778231,       2.748511657
          0,           0,          72,      -2.683691724,     -0.1146859307,     -0.1656365705,       2.755191352
          0,           0,          73,      -2.671725697,    -0.08485493438,     -0.1234324983,       2.764744198
          0,           0,          74,      -2.658615996,    -0.06076556072,    -0.08818071519,       2.774120689
          0,           0,          75,      -2.651206414,    -0.05215341936,    -0.07318098007,       2.777958567
          0,           0,          76,       -2.65081118,    -0.06250957664,    -0.08220641946,       2.776815707
          0,           0,          77,      -2.658734151,    -0.09099486839,     -0.1137385402,         2.7698722
          0,           0,          78,      -2.671693045,     -0.1321047809,     -0.1618079585,       2.760204335
          0,           0,          79,      -2.686640945,     -0.1770222193,     -0.2167633801,       2.749573357
          0,           0,          80,      -2.701359516,     -0.2138750853,     -0.2634767885,       2.738490422
          0,           0,          81,      -2.713063937,     -0.2296232379,     -0.2826244271,        2.72903206
          0,           0,          82,      -2.720210315,     -0.2182957596,     -0.2634321734,       2.721594017
          0,           0,          83,      -2.722209101,     -0.1879290664,      -0.218848781,       2.716398346
          0,           0,          84,       -2.71953526,     -0.1523428673,     -0.1696640488,        2.71359174
          0,           0,          85,      -2.712719453,      -0.120692785,       -0.12745555,       2.714155113
          0,           0,          86,       -2.70479062,     -0.1003692139,    -0.09988208126,       2.716449625
          0,           0,          87,      -2.699274629,     -0.0947408684,    -0.08966807863,       2.718162115
          0,           0,          88,      -2.698253587,     -0.1047435327,     -0.0971591779,       2.718025469
          0,           0,          89,      -2.702803885,     -0.1303008149,     -0.1221295653,        2.71529617
          0,           0,          90,       -2.71299102,     -0.1702709328,     -0.1637996227,       2.709796234
          0,           0,          91,      -2.727871524,     -0.2212604581,     -0.2197538763,        2.70188994
          0,           0,          92,       -2.74553114,     -0.2749124454,     -0.2828792998,       2.692372044
          0,           0,          93,      -2.762842277,     -0.3149090373,     -0.3363002109,       2.683206536
          0,           0,          94,      -2.777168767,     -0.3218863913,     -0.3528427794,       2.674372006
          0,           0,          95,      -2.786250181,     -0.2952876309,     -0.3255551561,       2.666412043
          0,           0,          96,      -2.789551668,      -0.252946028,      -0.276269143,       2.659432877
          0,           0,          97,      -2.788545458,     -0.2122155964,     -0.2280925186,       2.653031673
          0,           0,          98,       -2.78495785,     -0.1809084969,     -0.1910107627,       2.647561433
          0,           0,          99,      -2.783107476,     -0.1650023043,     -0.1713681331,       2.640631906
          0,           0,         100,      -2.785306384,     -0.1657047579,     -0.1702030424,        2.63178535
          0,           0,         101,      -2.792621255,      -0.183165216,     -0.1875887666,        2.62134475
          0,           0,         102,       -2.80508592,     -0.2169405267,     -0.2231591433,        2.61011207
          0,           0,         103,      -2.821735942,     -0.2663094997,      -0.276751222,       2.599580043
          0,           0,         104,      -2.841528506,     -0.3255198407,     -0.3418671868,       2.589557162
          0,           0,         105,      -2.862150498,     -0.3814866347,     -0.4026546522,       2.580125075
          0,           0,         106,       -2.88095415,     -0.4133743721,     -0.4325293638,       2.570862876
          0,           0,         107,       -2.89584113,      -0.408568787,     -0.4176201429,       2.560927709
          0,           0,         108,      -2.905035612,     -0.3764151376,     -0.3738409223,       2.550714987
          0,           0,         109,      -2.910672033,     -0.3406674463,     -0.3302098812,       2.537771503
          0,           0,         110,      -2.915256431,     -0.3157930299,     -0.3011121465,       2.521849256
          0,           0,         111,      -2.921401646,     -0.3073865966,     -0.2910531871,       2.503633736
          0,           0,         112,       -2.93117064,      -0.316835267,     -0.3006980686,       2.484443451
          0,           0,         113,       -2.94542049,     -0.3442433564,     -0.3300983391,       2.466348893
          0,           0,         114,      -2.965118233,     -0.3877613117,     -0.3773347838,       2.449691321
          0,           0,         115,      -2.989101001,     -0.4421363187,      -0.437216105,       2.434981976
          0,           0,         116,      -3.015136715,     -0.4964046293,     -0.4982003264,       2.421701202
          0,           0,         117,      -3.040737198,     -0.5342070343,     -0.5415734224,       2.408235202
          0,           0,         118,      -3.063268724,     -0.5427828139,     -0.5517769815,       2.393783128
