"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.369107427346777e+00, 6.891938832866336e+01, 1.001092852108241e+01, 2.737175982116195e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.322026973924354e+00, 8.745036077965031e+01, 1.269037692924056e+01, 2.646601986013937e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.319973428385782e+00, 9.812056240282489e+01, 1.421580933060760e+01, 2.644704579207232e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.314190038474420e+00, 1.019289808746308e+02, 1.473432420984027e+01, 2.634054881647917e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.312173724151806e+00, 1.046377982664282e+02, 1.508223225306254e+01, 2.630669432099392e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.310513960548828e+00, 1.065991515359168e+02, 1.531098178725209e+01, 2.627831922252429e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.309308014508543e+00, 1.081485743985554e+02, 1.546924421893642e+01, 2.625805406940113e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.308284521658184e+00, 1.094196593090674e+02, 1.557695407920269e+01, 2.624078795084149e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.307410052346767e+00, 1.104981803236522e+02, 1.564631692519508e+01, 2.622604207529121e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.306645405591212e+00, 1.114371048039966e+02, 1.568579686076722e+01, 2.621315462511066e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.305968302241992e+00, 1.122657173589479e+02, 1.569947046282615e+01, 2.620174685826112e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.305359109678270e+00, 1.130030894989368e+02, 1.569086511715414e+01, 2.619147065524992e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.304812153595585e+00, 1.136662511272572e+02, 1.566251217624726e+01, 2.618225164558804e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.304315591285578e+00, 1.142636245554527e+02, 1.561623639823515e+01, 2.617387285704661e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.303865990183153e+00, 1.148052805095701e+02, 1.555388249928403e+01, 2.616628924645572e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.303457358712524e+00, 1.152966547479189e+02, 1.547674378869718e+01, 2.615939389186549e+05
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.303086055746948e+00, 1.157434017790377e+02, 1.538593619799866e+01, 2.615312748626047e+05
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.302747691946817e+00, 1.161500651258686e+02, 1.528278481828546e+01, 2.614741353421195e+05
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.302441194775408e+00, 1.165207987367036e+02, 1.516796585406717e+01, 2.614224044767799e+05
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.302162680380300e+00, 1.168576526498403e+02, 1.504250904967304e+01, 2.613753585056642e+05
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.301911563638777e+00, 1.171634252154152e+02, 1.490703709854514e+01, 2.613329476107166e+05
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.301686280057227e+00, 1.174404743485944e+02, 1.476226165977155e+01, 2.612949181427957e+05
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.301483265779152e+00, 1.176905415494142e+02, 1.460885882040627e+01, 2.612606051092331e+05
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.301303965532860e+00, 1.179158992289688e+02, 1.444742462544889e+01, 2.612303515849787e+05
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.301144995676748e+00, 1.181169852181991e+02, 1.427810292289602e+01, 2.612034948137490e+05
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.301006586810159e+00, 1.182964753565609e+02, 1.410177384984877e+01, 2.611801499579198e+05
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.300887107402081e+00, 1.184544056555092e+02, 1.391832281929137e+01, 2.611599918711993e+05
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.300785726618793e+00, 1.185927704198610e+02, 1.372815521604156e+01, 2.611429072564811e+05
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.300701806614876e+00, 1.187115110887619e+02, 1.353144781770069e+01, 2.611287673331421e+05
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.300633892554476e+00, 1.188124816167484e+02, 1.332818771534804e+01, 2.611173310531770e+05
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.300582286117387e+00, 1.188945565825700e+02, 1.311837912297448e+01, 2.611086285767871e+05
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.300547805896040e+00, 1.189599193831358e+02, 1.290198687739126e+01, 2.611028788267528e+05
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.300526083266945e+00, 1.190086525885699e+02, 1.267883638744716e+01, 2.610992170247067e+05
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.300523044013732e+00, 1.190429121557319e+02, 1.244890182319145e+01, 2.610988752211335e+05
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.300527940605620e+00, 1.190611064715583e+02, 1.221160449489289e+01, 2.610996792963591e+05
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.300553685303143e+00, 1.190646140603255e+02, 1.196669261892119e+01, 2.611042269198807e+05
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.300586728953668e+00, 1.190519861416972e+02, 1.171365234262062e+01, 2.611097925391495e+05
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.300638540612737e+00, 1.190239139666823e+02, 1.145186378831952e+01, 2.611186689792329e+05
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.300701933877871e+00, 1.189820840711456e+02, 1.118099740875323e+01, 2.611294760331412e+05
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.300778668515805e+00, 1.189228523803237e+02, 1.090008095907764e+01, 2.611424673926746e+05
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.300871943263749e+00, 1.188510883969234e+02, 1.060888614272153e+01, 2.611584067723214e+05
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.300976004765613e+00, 1.187599043550764e+02, 1.030607226724636e+01, 2.611759730540471e+05
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.301099211181710e+00, 1.186557560273544e+02, 9.991449136807704e+00, 2.611969956061552e+05
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.301233300146997e+00, 1.185301295502612e+02, 9.663506909331920e+00, 2.612196143319660e+05
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.301388546905255e+00, 1.183902657821962e+02, 9.321929498658058e+00, 2.612460599445263e+05
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.301555353459076e+00, 1.182263483847531e+02, 8.965324248661277e+00, 2.612741757672808e+05
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.301746109721865e+00, 1.180458394811402e+02, 8.593216629872062e+00, 2.613066185558925e+05
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.301948350856182e+00, 1.178378122659415e+02, 8.204321669628628e+00, 2.613406369806011e+05
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.302178254870497e+00, 1.176101514634356e+02, 7.798036725447706e+00, 2.613796514700241e+05
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.302420134027942e+00, 1.173517972813127e+02, 7.373192842161398e+00, 2.614202714205426e+05
50, 4.802699983120000e-01, -5.407492053959814e-02, 1.302695287548408e+00, 1.170716581858819e+02, 6.929347981585670e+00, 2.614669615650733e+05
51, 4.645099937920000e-01, -5.497835513414191e-02, 1.302984876924976e+00, 1.167560543135253e+02, 6.465069108313453e+00, 2.615156425344287e+05
52, 4.487800002100000e-01, -5.581859897363720e-02, 1.303314112901856e+00, 1.164137688445622e+02, 5.980343536999162e+00, 2.615715551828364e+05
53, 4.331099987030000e-01, -5.659141825851464e-02, 1.303660552285873e+00, 1.160313242881070e+02, 5.473537044370329e+00, 2.616299154543788e+05
54, 4.174999892710000e-01, -5.729416860686566e-02, 1.304047450319577e+00, 1.156134744892099e+02, 4.944663644093191e+00, 2.616954769056274e+05
55, 4.019699990750000e-01, -5.792324246601335e-02, 1.304462093576521e+00, 1.151536736892275e+02, 4.392804696246102e+00, 2.617655700197348e+05
56, 3.865399956700000e-01, -5.847520956655861e-02, 1.304912092531671e+00, 1.146468557077059e+02, 3.817587228054941e+00, 2.618416004674667e+05
57, 3.712300062180000e-01, -5.894684318665333e-02, 1.305402427152465e+00, 1.140932676706402e+02, 3.218575090683368e+00, 2.619245892486700e+05
58, 3.560400009160000e-01, -5.933561549045978e-02, 1.305928206152851e+00, 1.134801214791450e+02, 2.595460106549607e+00, 2.620132767119362e+05
59, 3.409900069240000e-01, -5.963847719943702e-02, 1.306503048926398e+00, 1.128106256982462e+02, 1.948382487139198e+00, 2.621104820992499e+05
60, 3.261100053790000e-01, -5.985254444802346e-02, 1.307120879932301e+00, 1.120753649273385e+02, 1.277085947585562e+00, 2.622148072661645e+05
61, 3.113999962810000e-01, -5.997565198183213e-02, 1.307786683714522e+00, 1.112708376049480e+02, 5.820641354170888e-01, 2.623272030090198e+05
62, 2.968699932100000e-01, -6.000550062925582e-02, 1.308512805492729e+00, 1.103904757785106e+02, -1.362075288922379e-01, 2.624500138099648e+05
63, 2.825500071050000e-01, -5.994005483718394e-02, 1.309282558454503e+00, 1.094260456631268e+02, -8.772744194248163e-01, 2.625797900710908e+05
64, 2.684499919410000e-01, -5.977765596976551e-02, 1.310125823417391e+00, 1.083733794967185e+02, -1.640227912502907e+00, 2.627224361525110e+05
65, 2.545700073240000e-01, -5.951657836311273e-02, 1.311017788989588e+00, 1.072187569500439e+02, -2.423421742855005e+00, 2.628727824971607e+05
66, 2.409400045870000e-01, -5.915585896897953e-02, 1.311990204260805e+00, 1.059595337037505e+02, -3.225918506218292e+00, 2.630371679417305e+05
67, 2.275699973110000e-01, -5.869456802648413e-02, 1.313019540762217e+00, 1.045800138446244e+02, -4.045253495642763e+00, 2.632106652757654e+05
68, 2.144699990750000e-01, -5.813197420944613e-02, 1.314133943885971e+00, 1.030753342817467e+02, -4.879097640504505e+00, 2.633988814635322e+05
69, 2.016600072380000e-01, -5.746811193675738e-02, 1.315316032497166e+00, 1.014263351924068e+02, -5.724774590814429e+00, 2.635980803116664e+05
70, 1.891400069000000e-01, -5.670228146432130e-02, 1.316588616118628e+00, 9.962584376827434e+01, -6.578509088311235e+00, 2.638128082548905e+05
71, 1.769299954180000e-01, -5.583513598033686e-02, 1.317940093541362e+00, 9.765245356067285e+01, -7.436129029864547e+00, 2.640404966978899e+05
72, 1.650400012730000e-01, -5.486709202536137e-02, 1.319390366531034e+00, 9.549415676940235e+01, -8.292018318205329e+00, 2.642850836068158e+05
73, 1.534900069240000e-01, -5.379977779145956e-02, 1.320925530469334e+00, 9.312980829323425e+01, -9.139661259930309e+00, 2.645436426784912e+05
74, 1.422899961470000e-01, -5.263443049277360e-02, 1.322565042629958e+00, 9.054416554837410e+01, -9.971933241166663e+00, 2.648200607340960e+05
75, 1.314399987460000e-01, -5.137133628795417e-02, 1.324299916627109e+00, 8.769944314912361e+01, -1.077773124876494e+01, 2.651121943957505e+05
76, 1.209499984980000e-01, -5.001187382363489e-02, 1.326148472653344e+00, 8.458378179493718e+01, -1.154622589784529e+01, 2.654239329064045e+05
77, 1.108499988910000e-01, -4.856066993422563e-02, 1.328079733805087e+00, 8.114856811791734e+01, -1.226121837371541e+01, 2.657487737214413e+05
78, 1.011300012470000e-01, -4.701715290498424e-02, 1.330133020185609e+00, 7.735698678656517e+01, -1.290122403516393e+01, 2.660945811010777e+05
79, 9.181000292300000e-02, -4.538527151431038e-02, 1.332269799804743e+00, 7.315535641734363e+01, -1.344019384842258e+01, 2.664536370102293e+05
80, 8.290000259900000e-02, -4.366791468532204e-02, 1.334505899195775e+00, 6.850334684559658e+01, -1.384700610796308e+01, 2.668295101677946e+05
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.336821668253443e+00, 6.333317927393527e+01, -1.407615131298373e+01, 2.672185704926978e+05
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.339198981262069e+00, 5.757535542863201e+01, -1.407214149220714e+01, 2.676179005522317e+05
83, 5.869000032500000e-02, -3.802635805630503e-02, 1.341601368927228e+00, 5.114428426548860e+01, -1.375712755346891e+01, 2.680212524764133e+05
84, 5.149000138000000e-02, -3.599337852580232e-02, 1.343967969762570e+00, 4.394968121965184e+01, -1.303075903000333e+01, 2.684182009846201e+05
85, 4.473999887700000e-02, -3.389028465845557e-02, 1.346214366881271e+00, 3.587256520434165e+01, -1.175208754418911e+01, 2.687943265581733e+05
86, 3.844000026600000e-02, -3.171811260404538e-02, 1.348268001215796e+00, 2.678439789339430e+01, -9.727967075060242e+00, 2.691389661690256e+05
87, 3.260000050100000e-02, -2.948109446637338e-02, 1.349901268394549e+00, 1.658285460754098e+01, -6.706977348268994e+00, 2.694127139603792e+05
88, 2.723000012300000e-02, -2.718419978786347e-02, 1.350789464156037e+00, 5.182436094788241e+00, -2.348127551209685e+00, 2.695595187383115e+05
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.350714959040164e+00, -7.587473630796771e+00, 3.879576808333719e+00, 2.695489080450320e+05
90, 1.789999939500000e-02, -2.241364555514381e-02, 1.348750480828526e+00, -2.160568791761151e+01, 1.259265792351249e+01, 2.692154460639458e+05
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.344307524785683e+00, -3.663759801448874e+01, 2.464501038326821e+01, 2.684697850934766e+05
92, 1.049000024800000e-02, -1.742916196961543e-02, 1.335940448178172e+00, -5.209799227039903e+01, 4.113846022996522e+01, 2.670641187961250e+05
93, 7.519999985000000e-03, -1.486756313872443e-02, 1.321594179590086e+00, -6.648978093546214e+01, 6.305960586824736e+01, 2.646377587027242e+05
94, 5.040000193000000e-03, -1.226032473458219e-02, 1.299837570206010e+00, -7.771931303950676e+01, 9.148967552718742e+01, 2.609722018400024e+05
95, 3.049999941000000e-03, -9.605565346412577e-03, 1.266381714194370e+00, -8.184647800384334e+01, 1.256580260029255e+02, 2.552490495275463e+05
96, 1.560000004000000e-03, -6.917517506923035e-03, 1.223570889430607e+00, -7.508168753111451e+01, 1.638048965935353e+02, 2.479599877295200e+05
97, 5.600000150000000e-04, -4.173159738460802e-03, 1.164209074691462e+00, -5.385212121836380e+01, 1.989723780607663e+02, 2.375369879201546e+05
98, 5.999999800000000e-05, -1.375329724321098e-03, 1.093245565403658e+00, -3.058885856666232e+01, 2.279503385629331e+02, 2.250742426040442e+05
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.025364923981284e+00, 2.546478097857889e-10, 2.410640048293105e+02, 2.127124984985602e+05
100, 5.999999800000000e-05, 1.375329724321098e-03, 9.971772998056498e-01, 3.266772188605134e+01, 2.434421751270929e+02, 2.076343515980052e+05
101, 5.600000150000000e-04, 4.173159738460802e-03, 9.739562471058577e-01, 6.642380810342766e+01, 2.454221441806951e+02, 2.038391566848645e+05
102, 1.560000004000000e-03, 6.917517506923035e-03, 9.106244246422894e-01, 1.071956306276147e+02, 2.338675350508896e+02, 1.921021604953445e+05
103, 3.049999941000000e-03, 9.605565346412577e-03, 8.748239979250426e-01, 1.400648968419067e+02, 2.150401444095193e+02, 1.853299388855521e+05
104, 5.040000193000000e-03, 1.226032473458219e-02, 8.739544651813944e-01, 1.651038822359083e+02, 1.943571040886603e+02, 1.850320260254461e+05
105, 7.519999985000000e-03, 1.486756313872443e-02, 8.995229557343299e-01, 1.839109535421344e+02, 1.744230779826281e+02, 1.897071279348041e+05
106, 1.049000024800000e-02, 1.742916196961543e-02, 9.354805621278932e-01, 1.973675638653141e+02, 1.558485715661427e+02, 1.963371320892801e+05
107, 1.394999958600000e-02, 1.994492353858276e-02, 9.677846989575848e-01, 2.063705004341672e+02, 1.388192294687870e+02, 2.022570223923673e+05
108, 1.789999939500000e-02, 2.241364555514381e-02, 9.955321992891299e-01, 2.119801252897016e+02, 1.235504842318921e+02, 2.073015525466681e+05
109, 2.232000045500000e-02, 2.482329437156798e-02, 1.020635751348720e+00, 2.151532843282333e+02, 1.100107536063573e+02, 2.118456804775257e+05
110, 2.723000012300000e-02, 2.718419978786347e-02, 1.042847849666160e+00, 2.165940572967130e+02, 9.813733619621084e+01, 2.158507769925002e+05
111, 3.260000050100000e-02, 2.948109446637338e-02, 1.062105573182772e+00, 2.168707159635238e+02, 8.771390776253881e+01, 2.193088663151575e+05
112, 3.844000026600000e-02, 3.171811260404538e-02, 1.078958838738633e+00, 2.163246578945065e+02, 7.856809616878097e+01, 2.223243580334137e+05
113, 4.473999887700000e-02, 3.389028465845557e-02, 1.093797218010629e+00, 2.152343214240642e+02, 7.051217479125171e+01, 2.249719696318637e+05
114, 5.149000138000000e-02, 3.599337852580232e-02, 1.106860600986002e+00, 2.137773782273573e+02, 6.338342905873495e+01, 2.272958885037377e+05
115, 5.869000032500000e-02, 3.802635805630503e-02, 1.118464033837751e+00, 2.120806116820445e+02, 5.704684440178121e+01, 2.293550716155101e+05
116, 6.633000075800000e-02, 3.998513962421356e-02, 1.128821229242415e+00, 2.102313387260964e+02, 5.138318509057952e+01, 2.311888186425518e+05
117, 7.440000027400000e-02, 4.186607976498817e-02, 1.138098631916843e+00, 2.082838971661888e+02, 4.629225448942416e+01, 2.328271248672958e+05
118, 8.290000259900000e-02, 4.366791468532204e-02, 1.146499904082234e+00, 2.063073838722488e+02, 4.170219027447966e+01, 2.343093303648519e+05
119, 9.181000292300000e-02, 4.538527151431038e-02, 1.154101793259174e+00, 2.043062475714140e+02, 3.753540008938579e+01, 2.356473818296640e+05
120, 1.011300012470000e-01, 4.701715290498424e-02, 1.161071064969896e+00, 2.023193124388520e+02, 3.374183619138967e+01, 2.368733942064061e+05
121, 1.108499988910000e-01, 4.856066993422563e-02, 1.167454145900173e+00, 2.003397384384791e+02, 3.027051910959047e+01, 2.379941365271130e+05
122, 1.209499984980000e-01, 5.001187382363489e-02, 1.173344479535749e+00, 1.983823797945070e+02, 2.708046061136318e+01, 2.390270657696382e+05
123, 1.314399987460000e-01, 5.137133628795417e-02, 1.178798530098536e+00, 1.964467631618525e+02, 2.414211928861079e+01, 2.399820062052604e+05
124, 1.422899961470000e-01, 5.263443049277360e-02, 1.183848460321129e+00, 1.945418918286437e+02, 2.142555233871693e+01, 2.408646795565948e+05
125, 1.534900069240000e-01, 5.379977779145956e-02, 1.188590370229220e+00, 1.926903411313438e+02, 1.891042705101431e+01, 2.416941407236116e+05
126, 1.650400012730000e-01, 5.486709202536137e-02, 1.193004974834814e+00, 1.908496131458908e+02, 1.657199290263014e+01, 2.424639474655545e+05
127, 1.769299954180000e-01, 5.583513598033686e-02, 1.197201953242974e+00, 1.890579368009730e+02, 1.439655800661895e+01, 2.431968075252218e+05
128, 1.891400069000000e-01, 5.670228146432130e-02, 1.201107248879763e+00, 1.872755600559705e+02, 1.236620867884173e+01, 2.438759366479366e+05
129, 2.016600072380000e-01, 5.746811193675738e-02, 1.204857434821979e+00, 1.855517020240690e+02, 1.047303609084596e+01, 2.445299327668596e+05
130, 2.144699990750000e-01, 5.813197420944613e-02, 1.208359190007773e+00, 1.838384675221305e+02, 8.702041466749684e+00, 2.451380232713603e+05
131, 2.275699973110000e-01, 5.869456802648413e-02, 1.211743816250737e+00, 1.821780418076192e+02, 7.046818348569379e+00, 2.457275332462178e+05
132, 2.409400045870000e-01, 5.915585896897953e-02, 1.214919694452164e+00, 1.805277984745624e+02, 5.496135605994991e+00, 2.462783825937582e+05
133, 2.545700073240000e-01, 5.951657836311273e-02, 1.217996994096903e+00, 1.789214875638538e+02, 4.044089257911475e+00, 2.468134352637270e+05
134, 2.684499919410000e-01, 5.977765596976551e-02, 1.220900108815848e+00, 1.773268080834687e+02, 2.683836026913383e+00, 2.473162882137472e+05
135, 2.825500071050000e-01, 5.994005483718394e-02, 1.223711468943565e+00, 1.757699740148001e+02, 1.409157216397436e+00, 2.478040702393999e+05
136, 2.968699932100000e-01, 6.000550062925582e-02, 1.226385373741073e+00, 1.742296867324151e+02, 2.149768349160949e-01, 2.482667723274658e+05
137, 3.113999962810000e-01, 5.997565198183213e-02, 1.228964579215157e+00, 1.727157831733345e+02, -9.034861709308571e-01, 2.487130780457904e+05
138, 3.261100053790000e-01, 5.985254444802346e-02, 1.231440533881485e+00, 1.712270351734744e+02, -1.951112455535023e+00, 2.491411397030024e+05
139, 3.409900069240000e-01, 5.963847719943702e-02, 1.233811900458870e+00, 1.697587945423052e+02, -2.931949541767926e+00, 2.495504058484005e+05
140, 3.560400009160000e-01, 5.933561549045978e-02, 1.236117634563125e+00, 1.683209443464948e+02, -3.849751749074597e+00, 2.499488401740024e+05
141, 3.712300062180000e-01, 5.894684318665333e-02, 1.238313992191656e+00, 1.668928321712483e+02, -4.708052660821169e+00, 2.503269427470350e+05
142, 3.865399956700000e-01, 5.847520956655861e-02, 1.240458707829083e+00, 1.654997263022193e+02, -5.510919924311680e+00, 2.506969874278789e+05
143, 4.019699990750000e-01, 5.792324246601335e-02, 1.242499194552258e+00, 1.641173758388740e+02, -6.260638989815523e+00, 2.510476163638471e+05
144, 4.174999892710000e-01, 5.729416860686566e-02, 1.244499001190253e+00, 1.627690186579682e+02, -6.961455422906763e+00, 2.513921719004317e+05
145, 4.331099987030000e-01, 5.659141825851464e-02, 1.246404813915729e+00, 1.614342986577907e+02, -7.615328182759808e+00, 2.517193228888469e+05
146, 4.487800002100000e-01, 5.581859897363720e-02, 1.248268528969105e+00, 1.601301911008585e+02, -8.226119323636295e+00, 2.520398808088056e+05
147, 4.645099937920000e-01, 5.497835513414191e-02, 1.250057158276352e+00, 1.588429021494480e+02, -8.795521104220708e+00, 2.523467829464203e+05
148, 4.802699983120000e-01, 5.407492053959814e-02, 1.251793173929431e+00, 1.575794827847515e+02, -9.326963399127223e+00, 2.526446779152712e+05
149, 4.960500001910000e-01, 5.311153541819326e-02, 1.253462898892566e+00, 1.563370599243466e+02, -9.822630056823902e+00, 2.529307227751705e+05
150, 5.118399858470000e-01, 5.209138375948307e-02, 1.255093104470184e+00, 1.551191296147540e+02, -1.028503623628390e+01, 2.532102876432557e+05
151, 5.276100039480000e-01, 5.101897737545535e-02, 1.256660028032921e+00, 1.539149723772742e+02, -1.071615230181255e+01, 2.534782707133964e+05
152, 5.433599948880000e-01, 4.989683951066199e-02, 1.258202881050355e+00, 1.527393916576809e+02, -1.111875425850585e+01, 2.537429031719886e+05
153, 5.590599775310000e-01, 4.872955796694115e-02, 1.259690193657739e+00, 1.515718184481838e+02, -1.149397336475588e+01, 2.539972274019464e+05
154, 5.747100114820000e-01, 4.751950934859488e-02, 1.261138331260346e+00, 1.504240741565134e+02, -1.184423909283633e+01, 2.542448636423292e+05
155, 5.902799963950000e-01, 4.627132533375768e-02, 1.262542218654973e+00, 1.492939340188940e+02, -1.217161381993017e+01, 2.544847109134715e+05
156, 6.057599782940000e-01, 4.498807223669178e-02, 1.263909018629867e+00, 1.481780875415646e+02, -1.247738731292969e+01, 2.547180507885889e+05
157, 6.211299896240000e-01, 4.367359094194759e-02, 1.265239128453966e+00, 1.470787044705782e+02, -1.276359866974880e+01, 2.549450181407176e+05
158, 6.363800168040000e-01, 4.233084266562091e-02, 1.266539912901782e+00, 1.459934270449557e+02, -1.303166564141043e+01, 2.551669725948788e+05
159, 6.514999866490000e-01, 4.096270419333766e-02, 1.267805834794163e+00, 1.449207006864264e+02, -1.328295898147238e+01, 2.553827541829025e+05
160, 6.664699912070000e-01, 3.957289370556494e-02, 1.269048534159858e+00, 1.438618251426714e+02, -1.351899915602124e+01, 2.555946934916301e+05
161, 6.812700033190000e-01, 3.816515293304169e-02, 1.270256559312029e+00, 1.428121821665183e+02, -1.374064759742906e+01, 2.558003639147603e+05
162, 6.958900094030001e-01, 3.674225211597043e-02, 1.271448644502353e+00, 1.417746523409995e+02, -1.394935979096138e+01, 2.560035531856887e+05
163, 7.103199958800001e-01, 3.530689307158652e-02, 1.272608033611317e+00, 1.407432829196958e+02, -1.414552609244421e+01, 2.562007467826834e+05
164, 7.245299816130000e-01, 3.386376679305321e-02, 1.273756688558757e+00, 1.397222585626296e+02, -1.433073327861510e+01, 2.563964153398825e+05
