"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.694362372551175e+00, 2.645046769722852e+02, 3.842079099765129e+01, 3.806792469231200e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.514860974537385e+00, 2.626566306329730e+02, 3.811547049068934e+01, 3.416076860928111e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.498920824635222e+00, 2.828210378349765e+02, 4.097540668428459e+01, 3.392235146552742e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.475675136206930e+00, 2.921826078787677e+02, 4.223640063916594e+01, 3.347373249473314e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.458110522934892e+00, 2.973953312786061e+02, 4.286582412503991e+01, 3.312614413208121e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.445583158255381e+00, 3.022218976457906e+02, 4.340854410088816e+01, 3.288586840167083e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.434040054941674e+00, 3.058112389642008e+02, 4.374231252460591e+01, 3.266007468707627e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.423844413985952e+00, 3.089793325291509e+02, 4.398621696157459e+01, 3.246119362592229e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.414446356159020e+00, 3.117547750579539e+02, 4.414384019005188e+01, 3.227741828360307e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.405690904783410e+00, 3.142456183682282e+02, 4.423295941491982e+01, 3.210598165950533e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.397440836904785e+00, 3.165074956682629e+02, 4.426106380827284e+01, 3.194420915142695e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.389593159714321e+00, 3.185821518638915e+02, 4.423622040596870e+01, 3.179010146440350e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.382090972620126e+00, 3.205041633099687e+02, 4.416350773070701e+01, 3.164261669803294e+05
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.374875951382839e+00, 3.222897609848282e+02, 4.404685319454970e+01, 3.150057553809501e+05
