case,Mach,AoA_deg,CL,CD,CL_CD,CMz
M08_AoA_1p25,0.8,1.25,0.328486,0.021481,15.292266,0.034115
M03_AoA_00,0.3,0.0,0.000462,-9e-05,-5.111961,8.2e-05
M03_AoA_02,0.3,2.0,0.25063,4.5e-05,5606.351629,0.002843
M03_AoA_04,0.3,4.0,0.501091,0.00062,808.09849,0.005439
M03_AoA_06,0.3,6.0,0.7515,0.00161,466.83828,0.007653
M03_AoA_08,0.3,8.0,1.000297,0.003163,316.285156,0.009017
M03_AoA_10,0.3,10.0,1.245568,0.005674,219.523381,0.009021
M03_AoA_12,0.3,12.0,1.468981,0.011682,125.751087,0.005208
M03_AoA_14,0.3,14.0,1.578287,0.027988,56.392076,-0.011281
M03_AoA_16,0.3,16.0,0.510813,0.079303,6.441254,-0.042585
