"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1612,5.3079e+05,2.0028,807.54,-1.3559e-14,0,1e+05,-2.0788e-16,300,695.43,-1.1677e-14,0,1,0,0,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.0806e-14,0,1e+05,-2.2088e-16,300,695.43,-9.3057e-15,0,1,0.0025,0.0025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-8.0526e-15,0,1e+05,-2.3387e-16,300,695.43,-6.9347e-15,0,1,0.005,0.005,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.2994e-15,0,1e+05,-2.4686e-16,300,695.43,-4.5637e-15,0,1,0.0075,0.0075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.5461e-15,0,1e+05,-2.5986e-16,300,695.43,-2.1927e-15,0,1,0.01,0.01,0.5,0
1.1612,5.3079e+05,2.0028,807.54,2.0712e-16,0,1e+05,-2.7285e-16,300,695.43,1.7836e-16,0,1,0.0125,0.0125,0.5,0
1.1612,5.3079e+05,2.0028,807.54,2.9604e-15,0,1e+05,-2.8584e-16,300,695.43,2.5494e-15,0,1,0.015,0.015,0.5,0
1.1612,5.3079e+05,2.0028,807.54,5.7136e-15,0,1e+05,-2.9883e-16,300,695.43,4.9204e-15,0,1,0.0175,0.0175,0.5,0
1.1612,5.3079e+05,2.0028,807.54,8.4668e-15,0,1e+05,-3.1183e-16,300,695.43,7.2914e-15,0,1,0.02,0.02,0.5,0
1.1612,5.3079e+05,2.0028,807.54,7.8403e-15,0,1e+05,-3.3456e-16,300,695.43,6.7518e-15,0,1,0.0225,0.0225,0.5,0
1.1612,5.3079e+05,2.0028,807.54,7.2137e-15,0,1e+05,-3.573e-16,300,695.43,6.2123e-15,0,1,0.025,0.025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,6.5872e-15,0,1e+05,-3.8004e-16,300,695.43,5.6727e-15,0,1,0.0275,0.0275,0.5,0
1.1612,5.3079e+05,2.0028,807.54,5.9606e-15,0,1e+05,-4.0278e-16,300,695.43,5.1331e-15,0,1,0.03,0.03,0.5,0
1.1612,5.3079e+05,2.0028,807.54,5.3341e-15,0,1e+05,-4.2551e-16,300,695.43,4.5936e-15,0,1,0.0325,0.0325,0.5,0
1.1612,5.3079e+05,2.0028,807.54,4.7075e-15,0,1e+05,-4.4825e-16,300,695.43,4.054e-15,0,1,0.035,0.035,0.5,0
1.1612,5.3079e+05,2.0028,807.54,4.0809e-15,0,1e+05,-4.7099e-16,300,695.43,3.5144e-15,0,1,0.0375,0.0375,0.5,0
1.1612,5.3079e+05,2.0028,807.54,3.4544e-15,0,1e+05,-4.9373e-16,300,695.43,2.9748e-15,0,1,0.04,0.04,0.5,0
1.1612,5.3079e+05,2.0028,807.54,5.3528e-16,0,1e+05,-4.6449e-16,300,695.43,4.6097e-16,0,1,0.0425,0.0425,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.3838e-15,0,1e+05,-4.3526e-16,300,695.43,-2.0529e-15,0,1,0.045,0.045,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.3029e-15,0,1e+05,-4.0602e-16,300,695.43,-4.5668e-15,0,1,0.0475,0.0475,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-8.2221e-15,0,1e+05,-3.7679e-16,300,695.43,-7.0806e-15,0,1,0.05,0.05,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1141e-14,0,1e+05,-3.4756e-16,300,695.43,-9.5945e-15,0,1,0.0525,0.0525,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.406e-14,0,1e+05,-3.1832e-16,300,695.43,-1.2108e-14,0,1,0.055,0.055,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.6979e-14,0,1e+05,-2.8909e-16,300,695.43,-1.4622e-14,0,1,0.0575,0.0575,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.9898e-14,0,1e+05,-2.5986e-16,300,695.43,-1.7136e-14,0,1,0.06,0.06,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-3.2901e-14,0,1e+05,-2.8584e-16,300,695.43,-2.8334e-14,0,1,0.0625,0.0625,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-4.5904e-14,0,1e+05,-3.1183e-16,300,695.43,-3.9531e-14,0,1,0.065,0.065,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.8907e-14,0,1e+05,-3.3781e-16,300,695.43,-5.0729e-14,0,1,0.0675,0.0675,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-7.191e-14,0,1e+05,-3.638e-16,300,695.43,-6.1927e-14,0,1,0.07,0.07,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-8.4912e-14,0,1e+05,-3.8978e-16,300,695.43,-7.3124e-14,0,1,0.0725,0.0725,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-9.7915e-14,0,1e+05,-4.1577e-16,300,695.43,-8.4322e-14,0,1,0.075,0.075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1092e-13,0,1e+05,-4.4175e-16,300,695.43,-9.552e-14,0,1,0.0775,0.0775,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2392e-13,0,1e+05,-4.6774e-16,300,695.43,-1.0672e-13,0,1,0.08,0.08,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2321e-13,0,1e+05,-4.58e-16,300,695.43,-1.061e-13,0,1,0.0825,0.0825,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2249e-13,0,1e+05,-4.4825e-16,300,695.43,-1.0549e-13,0,1,0.085,0.085,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2178e-13,0,1e+05,-4.3851e-16,300,695.43,-1.0487e-13,0,1,0.0875,0.0875,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2106e-13,0,1e+05,-4.2876e-16,300,695.43,-1.0425e-13,0,1,0.09,0.09,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2035e-13,0,1e+05,-4.1902e-16,300,695.43,-1.0364e-13,0,1,0.0925,0.0925,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1963e-13,0,1e+05,-4.0927e-16,300,695.43,-1.0302e-13,0,1,0.095,0.095,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1892e-13,0,1e+05,-3.9953e-16,300,695.43,-1.0241e-13,0,1,0.0975,0.0975,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.182e-13,0,1e+05,-3.8978e-16,300,695.43,-1.0179e-13,0,1,0.1,0.1,0.5,0
