"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1612,5.3079e+05,2.0028,807.54,-2.4499e-09,0,1e+05,-2.9066e-12,300,695.43,-2.1097e-09,0,1,0,0,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.8824e-09,0,1e+05,-2.2464e-12,300,695.43,-1.6211e-09,0,1,0.0025,0.0025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.315e-09,0,1e+05,-1.5861e-12,300,695.43,-1.1324e-09,0,1,0.005,0.005,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-7.4753e-10,0,1e+05,-9.2584e-13,300,695.43,-6.4375e-10,0,1,0.0075,0.0075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.8008e-10,0,1e+05,-2.6559e-13,300,695.43,-1.5508e-10,0,1,0.01,0.01,0.5,0
1.1612,5.3079e+05,2.0028,807.54,3.8736e-10,0,1e+05,3.9467e-13,300,695.43,3.3358e-10,0,1,0.0125,0.0125,0.5,0
1.1612,5.3079e+05,2.0028,807.54,9.548e-10,0,1e+05,1.0549e-12,300,695.43,8.2225e-10,0,1,0.015,0.015,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.5222e-09,0,1e+05,1.7152e-12,300,695.43,1.3109e-09,0,1,0.0175,0.0175,0.5,0
1.1612,5.3079e+05,2.0028,807.54,2.0897e-09,0,1e+05,2.3754e-12,300,695.43,1.7996e-09,0,1,0.02,0.02,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.5532e-09,0,1e+05,1.7501e-12,300,695.43,1.3376e-09,0,1,0.0225,0.0225,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.0168e-09,0,1e+05,1.1247e-12,300,695.43,8.7561e-10,0,1,0.025,0.025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,4.803e-10,0,1e+05,4.9928e-13,300,695.43,4.1362e-10,0,1,0.0275,0.0275,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.616e-11,0,1e+05,-1.2611e-13,300,695.43,-4.8364e-11,0,1,0.03,0.03,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.9262e-10,0,1e+05,-7.515e-13,300,695.43,-5.1035e-10,0,1,0.0325,0.0325,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1291e-09,0,1e+05,-1.3769e-12,300,695.43,-9.7234e-10,0,1,0.035,0.035,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.6655e-09,0,1e+05,-2.0023e-12,300,695.43,-1.4343e-09,0,1,0.0375,0.0375,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.202e-09,0,1e+05,-2.6277e-12,300,695.43,-1.8963e-09,0,1,0.04,0.04,0.5,0
