"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,     -0.4814595639,       2.346980287,       1.592365555,       5.253007815,            280000,     0.01718194298,     -0.1010405878,                 0,                 0,                 0,     -0.0746549284,     0.01718194298,     -0.1010405878,                 0,      -5.880626419
          0,           0,           1,     -0.7199979117,        2.09198886,       1.694058533,       5.014888292,            280000,     0.03204058591,     -0.1845069882,                 0,                 0,                 0,     -0.1398006706,     0.03204058591,     -0.1845069882,                 0,      -5.758539769
          0,           0,           2,      -1.039425592,       1.756233412,        1.62909459,       4.714660963,            280000,     0.04175168069,     -0.2382632021,                 0,                 0,                 0,     -0.1805831916,     0.04175168069,     -0.2382632021,                 0,      -5.706673317
          0,           0,           3,      -1.197099418,       1.617676923,       1.472819111,       4.546636908,            280000,     0.03989415478,     -0.2266726163,                 0,                 0,                 0,      -0.168909507,     0.03989415478,     -0.2266726163,                 0,      -5.681850325
          0,           0,           4,      -1.300525138,       1.510016062,       1.388920479,       4.435747951,            280000,     0.03908301052,     -0.2218421794,                 0,                 0,                 0,     -0.1636244449,     0.03908301052,     -0.2218421794,                 0,      -5.676179406
          0,           0,           5,      -1.367375348,        1.43245361,       1.266213709,       4.374755694,            280000,     0.04097396275,     -0.2323896971,                 0,                 0,                 0,     -0.1737382968,     0.04097396275,     -0.2323896971,                 0,      -5.671643196
          0,           0,           6,       -1.48475789,       1.290915938,       1.066823798,       4.265894723,            280000,      0.0422002621,     -0.2390260245,                 0,                 0,                 0,     -0.1808313739,      0.0422002621,     -0.2390260245,                 0,      -5.664088624
          0,           0,           7,      -1.600419044,       1.164219243,      0.8748683296,       4.159807526,            280000,      0.0427729894,     -0.2420167772,                 0,                 0,                 0,     -0.1841761484,      0.0427729894,     -0.2420167772,                 0,      -5.658168405
          0,           0,           8,      -1.732621287,       1.022770941,      0.7188434333,       4.040641691,            280000,     0.04312047048,     -0.2440309343,                 0,                 0,                 0,     -0.1866639068,     0.04312047048,     -0.2440309343,                 0,      -5.659282738
          0,           0,           9,      -1.876888335,      0.8694348989,      0.5992805326,       3.908175349,            280000,     0.04331707718,     -0.2453534567,                 0,                 0,                 0,     -0.1884788995,     0.04331707718,     -0.2453534567,                 0,      -5.664127699
          0,           0,          10,      -2.015275235,      0.7222133556,      0.4834002178,       3.778492594,            280000,     0.04341563976,     -0.2461782537,                 0,                 0,                 0,     -0.1897028316,     0.04341563976,     -0.2461782537,                 0,      -5.670266636
          0,           0,          11,      -2.136311266,      0.5954975778,      0.3592765331,        3.66096335,            280000,     0.04346338104,     -0.2466903377,                 0,                 0,                 0,     -0.1905050393,     0.04346338104,     -0.2466903377,                 0,      -5.675820238
          0,           0,          12,      -2.246358184,      0.4830567892,       0.227902586,       3.553116163,            280000,     0.04348461533,      -0.246998049,                 0,                 0,                 0,     -0.1910147357,     0.04348461533,      -0.246998049,                 0,      -5.680124963
          0,           0,          13,       -2.35755713,      0.3706374557,     0.09928898135,       3.445418479,            280000,     0.04348663252,      -0.247127292,                 0,                 0,                 0,     -0.1912690269,     0.04348663252,      -0.247127292,                 0,      -5.682833497
          0,           0,          14,      -2.473598383,      0.2528897087,    -0.02384841956,       3.334219641,            280000,     0.04347704026,      -0.247127849,                 0,                 0,                 0,      -0.191334552,     0.04347704026,      -0.247127849,                 0,      -5.684100102
          0,           0,          15,      -2.593011597,      0.1310976847,     -0.1426074103,       3.220323242,            280000,     0.04346183746,     -0.2470494347,                 0,                 0,                 0,     -0.1912785854,     0.04346183746,     -0.2470494347,                 0,      -5.684284169
          0,           0,          16,      -2.712874138,    0.008644898705,     -0.2601060357,       3.105722922,            280000,     0.04344385832,     -0.2469281193,                 0,                 0,                 0,     -0.1911524074,     0.04344385832,     -0.2469281193,                 0,      -5.683844135
          0,           0,          17,      -2.831931832,     -0.1125516806,     -0.3793263781,         2.9910302,            280000,     0.04342798236,     -0.2468034863,                 0,                 0,                 0,     -0.1910092927,     0.04342798236,     -0.2468034863,                 0,      -5.683052099
          0,           0,          18,      -2.950875811,     -0.2335089554,     -0.5004219753,       2.876042662,            280000,     0.04341566626,       -0.24669517,                 0,                 0,                 0,     -0.1908783296,     0.04341566626,       -0.24669517,                 0,      -5.682169394
          0,           0,          19,      -3.071264967,     -0.3559106165,     -0.6223836666,       2.759778789,            280000,     0.04340786394,     -0.2466160249,                 0,                 0,                 0,     -0.1907787943,     0.04340786394,     -0.2466160249,                 0,      -5.681367441
          0,           0,          20,      -3.193411366,     -0.4803624738,     -0.7446153716,       2.642407377,            280000,     0.04340328216,      -0.246563216,                 0,                 0,                 0,     -0.1907098473,     0.04340328216,      -0.246563216,                 0,      -5.680750481
          0,           0,          21,      -3.318145573,     -0.6063867658,     -0.8664004332,        2.52269735,            280000,     0.04340139914,     -0.2465353777,                 0,                 0,                 0,     -0.1906714954,     0.04340139914,     -0.2465353777,                 0,      -5.680355533
          0,           0,          22,       -3.44390002,     -0.7322024101,     -0.9877020854,       2.401616303,            280000,       0.043401321,     -0.2465260646,                 0,                 0,                 0,     -0.1906567573,       0.043401321,     -0.2465260646,                 0,      -5.680151176
          0,           0,          23,      -3.569032802,     -0.8563444389,      -1.108104452,       2.280400301,            280000,      0.0434022172,     -0.2465281189,                 0,                 0,                 0,     -0.1906570753,      0.0434022172,     -0.2465281189,                 0,      -5.680081222
          0,           0,          24,      -3.692191594,      -0.977856554,      -1.227235528,       2.160114634,            280000,     0.04340316215,     -0.2465337895,                 0,                 0,                 0,     -0.1906629695,     0.04340316215,     -0.2465337895,                 0,      -5.680088207
          0,           0,          25,      -3.811081008,      -1.097716964,      -1.345365397,       2.043125918,            280000,     0.04340446083,     -0.2465433191,                 0,                 0,                 0,       -0.19067403,     0.04340446083,     -0.2465433191,                 0,       -5.68013781
