"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1612,5.3079e+05,2.0028,807.54,-2.1127e-14,0,1e+05,-1.2993e-16,300,695.43,-1.8194e-14,0,1,0,0,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.0151e-14,0,1e+05,-1.5916e-16,300,695.43,-1.7354e-14,0,1,0.0025,0.0025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.9176e-14,0,1e+05,-1.884e-16,300,695.43,-1.6514e-14,0,1,0.005,0.005,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.82e-14,0,1e+05,-2.1763e-16,300,695.43,-1.5673e-14,0,1,0.0075,0.0075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.7224e-14,0,1e+05,-2.4686e-16,300,695.43,-1.4833e-14,0,1,0.01,0.01,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.6249e-14,0,1e+05,-2.761e-16,300,695.43,-1.3993e-14,0,1,0.0125,0.0125,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.5273e-14,0,1e+05,-3.0533e-16,300,695.43,-1.3153e-14,0,1,0.015,0.015,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.4297e-14,0,1e+05,-3.3456e-16,300,695.43,-1.2312e-14,0,1,0.0175,0.0175,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.3321e-14,0,1e+05,-3.638e-16,300,695.43,-1.1472e-14,0,1,0.02,0.02,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-9.9856e-15,0,1e+05,-3.4106e-16,300,695.43,-8.5994e-15,0,1,0.0225,0.0225,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.6498e-15,0,1e+05,-3.1832e-16,300,695.43,-5.7266e-15,0,1,0.025,0.025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-3.3139e-15,0,1e+05,-2.9559e-16,300,695.43,-2.8539e-15,0,1,0.0275,0.0275,0.5,0
1.1612,5.3079e+05,2.0028,807.54,2.1923e-17,0,1e+05,-2.7285e-16,300,695.43,1.888e-17,0,1,0.03,0.03,0.5,0
1.1612,5.3079e+05,2.0028,807.54,3.3578e-15,0,1e+05,-2.5011e-16,300,695.43,2.8916e-15,0,1,0.0325,0.0325,0.5,0
1.1612,5.3079e+05,2.0028,807.54,6.6936e-15,0,1e+05,-2.2737e-16,300,695.43,5.7644e-15,0,1,0.035,0.035,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.0029e-14,0,1e+05,-2.0464e-16,300,695.43,8.6371e-15,0,1,0.0375,0.0375,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.3365e-14,0,1e+05,-1.819e-16,300,695.43,1.151e-14,0,1,0.04,0.04,0.5,0
1.1612,5.3079e+05,2.0028,807.54,3.0347e-14,0,1e+05,-7.4708e-17,300,695.43,2.6134e-14,0,1,0.0425,0.0425,0.5,0
1.1612,5.3079e+05,2.0028,807.54,4.7328e-14,0,1e+05,3.2482e-17,300,695.43,4.0758e-14,0,1,0.045,0.045,0.5,0
1.1612,5.3079e+05,2.0028,807.54,6.431e-14,0,1e+05,1.3967e-16,300,695.43,5.5382e-14,0,1,0.0475,0.0475,0.5,0
1.1612,5.3079e+05,2.0028,807.54,8.1292e-14,0,1e+05,2.4686e-16,300,695.43,7.0006e-14,0,1,0.05,0.05,0.5,0
1.1612,5.3079e+05,2.0028,807.54,9.8273e-14,0,1e+05,3.5405e-16,300,695.43,8.463e-14,0,1,0.0525,0.0525,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.1525e-13,0,1e+05,4.6124e-16,300,695.43,9.9254e-14,0,1,0.055,0.055,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.3224e-13,0,1e+05,5.6843e-16,300,695.43,1.1388e-13,0,1,0.0575,0.0575,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.4922e-13,0,1e+05,6.7562e-16,300,695.43,1.285e-13,0,1,0.06,0.06,0.5,0
1.1612,5.3079e+05,2.0028,807.54,1.8279e-13,0,1e+05,7.9256e-16,300,695.43,1.5742e-13,0,1,0.0625,0.0625,0.5,0
1.1612,5.3079e+05,2.0028,807.54,2.1637e-13,0,1e+05,9.0949e-16,300,695.43,1.8633e-13,0,1,0.065,0.065,0.5,0
