"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1612,5.3079e+05,2.0028,807.54,-4.2948e-14,0,1e+05,-1.0394e-16,300,695.43,-3.6986e-14,0,1,0,0,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-4.982e-14,0,1e+05,-1.2993e-16,300,695.43,-4.2903e-14,0,1,0.0025,0.0025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.6691e-14,0,1e+05,-1.5591e-16,300,695.43,-4.8821e-14,0,1,0.005,0.005,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.3562e-14,0,1e+05,-1.819e-16,300,695.43,-5.4738e-14,0,1,0.0075,0.0075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-7.0434e-14,0,1e+05,-2.0788e-16,300,695.43,-6.0656e-14,0,1,0.01,0.01,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-7.7305e-14,0,1e+05,-2.3387e-16,300,695.43,-6.6573e-14,0,1,0.0125,0.0125,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-8.4176e-14,0,1e+05,-2.5986e-16,300,695.43,-7.2491e-14,0,1,0.015,0.015,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-9.1048e-14,0,1e+05,-2.8584e-16,300,695.43,-7.8408e-14,0,1,0.0175,0.0175,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-9.7919e-14,0,1e+05,-3.1183e-16,300,695.43,-8.4325e-14,0,1,0.02,0.02,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-9.961e-14,0,1e+05,-3.0533e-16,300,695.43,-8.5781e-14,0,1,0.0225,0.0225,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.013e-13,0,1e+05,-2.9883e-16,300,695.43,-8.7238e-14,0,1,0.025,0.025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.0299e-13,0,1e+05,-2.9234e-16,300,695.43,-8.8694e-14,0,1,0.0275,0.0275,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.0468e-13,0,1e+05,-2.8584e-16,300,695.43,-9.015e-14,0,1,0.03,0.03,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.0637e-13,0,1e+05,-2.7934e-16,300,695.43,-9.1606e-14,0,1,0.0325,0.0325,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.0806e-13,0,1e+05,-2.7285e-16,300,695.43,-9.3062e-14,0,1,0.035,0.035,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.0975e-13,0,1e+05,-2.6635e-16,300,695.43,-9.4518e-14,0,1,0.0375,0.0375,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1145e-13,0,1e+05,-2.5986e-16,300,695.43,-9.5974e-14,0,1,0.04,0.04,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1433e-13,0,1e+05,-2.5661e-16,300,695.43,-9.8457e-14,0,1,0.0425,0.0425,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1721e-13,0,1e+05,-2.5336e-16,300,695.43,-1.0094e-13,0,1,0.045,0.045,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2009e-13,0,1e+05,-2.5011e-16,300,695.43,-1.0342e-13,0,1,0.0475,0.0475,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2298e-13,0,1e+05,-2.4686e-16,300,695.43,-1.059e-13,0,1,0.05,0.05,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2586e-13,0,1e+05,-2.4361e-16,300,695.43,-1.0839e-13,0,1,0.0525,0.0525,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2874e-13,0,1e+05,-2.4037e-16,300,695.43,-1.1087e-13,0,1,0.055,0.055,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.3163e-13,0,1e+05,-2.3712e-16,300,695.43,-1.1335e-13,0,1,0.0575,0.0575,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.3451e-13,0,1e+05,-2.3387e-16,300,695.43,-1.1583e-13,0,1,0.06,0.06,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.3275e-13,0,1e+05,-2.1438e-16,300,695.43,-1.1432e-13,0,1,0.0625,0.0625,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.3099e-13,0,1e+05,-1.9489e-16,300,695.43,-1.128e-13,0,1,0.065,0.065,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2923e-13,0,1e+05,-1.754e-16,300,695.43,-1.1129e-13,0,1,0.0675,0.0675,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2746e-13,0,1e+05,-1.5591e-16,300,695.43,-1.0977e-13,0,1,0.07,0.07,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.257e-13,0,1e+05,-1.3642e-16,300,695.43,-1.0825e-13,0,1,0.0725,0.0725,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2394e-13,0,1e+05,-1.1694e-16,300,695.43,-1.0674e-13,0,1,0.075,0.075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2218e-13,0,1e+05,-9.7446e-17,300,695.43,-1.0522e-13,0,1,0.0775,0.0775,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.2042e-13,0,1e+05,-7.7957e-17,300,695.43,-1.037e-13,0,1,0.08,0.08,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1314e-13,0,1e+05,-1.1694e-16,300,695.43,-9.7435e-14,0,1,0.0825,0.0825,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.0586e-13,0,1e+05,-1.5591e-16,300,695.43,-9.1167e-14,0,1,0.085,0.085,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-9.8586e-14,0,1e+05,-1.9489e-16,300,695.43,-8.49e-14,0,1,0.0875,0.0875,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-9.1308e-14,0,1e+05,-2.3387e-16,300,695.43,-7.8632e-14,0,1,0.09,0.09,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-8.403e-14,0,1e+05,-2.7285e-16,300,695.43,-7.2365e-14,0,1,0.0925,0.0925,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-7.6752e-14,0,1e+05,-3.1183e-16,300,695.43,-6.6097e-14,0,1,0.095,0.095,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.9474e-14,0,1e+05,-3.5081e-16,300,695.43,-5.9829e-14,0,1,0.0975,0.0975,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.2196e-14,0,1e+05,-3.8978e-16,300,695.43,-5.3562e-14,0,1,0.1,0.1,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.3472e-14,0,1e+05,-3.638e-16,300,695.43,-5.466e-14,0,1,0.1025,0.1025,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.4747e-14,0,1e+05,-3.3781e-16,300,695.43,-5.5759e-14,0,1,0.105,0.105,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.6023e-14,0,1e+05,-3.1183e-16,300,695.43,-5.6857e-14,0,1,0.1075,0.1075,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.7298e-14,0,1e+05,-2.8584e-16,300,695.43,-5.7956e-14,0,1,0.11,0.11,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.8574e-14,0,1e+05,-2.5986e-16,300,695.43,-5.9054e-14,0,1,0.1125,0.1125,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.9849e-14,0,1e+05,-2.3387e-16,300,695.43,-6.0153e-14,0,1,0.115,0.115,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-7.1125e-14,0,1e+05,-2.0788e-16,300,695.43,-6.1251e-14,0,1,0.1175,0.1175,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-7.24e-14,0,1e+05,-1.819e-16,300,695.43,-6.2349e-14,0,1,0.12,0.12,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.9544e-14,0,1e+05,-2.0464e-16,300,695.43,-5.9889e-14,0,1,0.1225,0.1225,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.6687e-14,0,1e+05,-2.2737e-16,300,695.43,-5.7429e-14,0,1,0.125,0.125,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.3831e-14,0,1e+05,-2.5011e-16,300,695.43,-5.4969e-14,0,1,0.1275,0.1275,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-6.0974e-14,0,1e+05,-2.7285e-16,300,695.43,-5.2509e-14,0,1,0.13,0.13,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.8118e-14,0,1e+05,-2.9559e-16,300,695.43,-5.0049e-14,0,1,0.1325,0.1325,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.5261e-14,0,1e+05,-3.1832e-16,300,695.43,-4.7589e-14,0,1,0.135,0.135,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-5.2404e-14,0,1e+05,-3.4106e-16,300,695.43,-4.5129e-14,0,1,0.1375,0.1375,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-4.9548e-14,0,1e+05,-3.638e-16,300,695.43,-4.2669e-14,0,1,0.14,0.14,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-4.5993e-14,0,1e+05,-3.638e-16,300,695.43,-3.9608e-14,0,1,0.1425,0.1425,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-4.2439e-14,0,1e+05,-3.638e-16,300,695.43,-3.6547e-14,0,1,0.145,0.145,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-3.8884e-14,0,1e+05,-3.638e-16,300,695.43,-3.3486e-14,0,1,0.1475,0.1475,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-3.533e-14,0,1e+05,-3.638e-16,300,695.43,-3.0425e-14,0,1,0.15,0.15,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-3.1775e-14,0,1e+05,-3.638e-16,300,695.43,-2.7364e-14,0,1,0.1525,0.1525,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.8221e-14,0,1e+05,-3.638e-16,300,695.43,-2.4303e-14,0,1,0.155,0.155,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.4666e-14,0,1e+05,-3.638e-16,300,695.43,-2.1242e-14,0,1,0.1575,0.1575,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.1112e-14,0,1e+05,-3.638e-16,300,695.43,-1.8181e-14,0,1,0.16,0.16,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-1.1705e-14,0,1e+05,-3.6055e-16,300,695.43,-1.008e-14,0,1,0.1625,0.1625,0.5,0
1.1612,5.3079e+05,2.0028,807.54,-2.2974e-15,0,1e+05,-3.573e-16,300,695.43,-1.9785e-15,0,1,0.165,0.165,0.5,0
